CustomerID,Name,Email,Phone,Revenue,Engagement,Target
1.0,Custmr 1,customer1@example.com,+1-555-9349,500000.0,0.37,1.0
2.0,Customer 2,customer2@example.com,+1-555-5177,95120.7163345817,0.33,0.0
3.0,Customer 3,Unknown,+1-555-4954,73467.4002393291,0.18,0.0
4.0,Customer 4,customer4@example.com,Unknown,60267.18993550662,0.61,0.0
5.0,Customer 5,customer5@example.com,+1-555-2151,16445.845403801213,0.48,0.0
6.0,Customer 6,customer6@example.com,+1-555-6759,16443.457513284062,0.87,1.0
7.0,Customer 7,customer7@example.com,+1-555-7051,6750.2776046517465,0.03,1.0
8.0,Customer 8,customer8@example.com,Unknown,86751.43843171858,0.64,0.0
9.0,Customer 9,customer9@example.com,+1-555-2311,60510.38616257767,0.76,1.0
10.0,Customer 10,customer10@example.com,+1-555-8839,71099.1852018085,0.76,0.0
11.0,Customer 11,customer11@example.com,+1-555-5787,3037.8649352844423,0.89,0.0
12.0,Customer 12,customer12@example.com,+1-555-5365,97021.07536403745,0.73,0.0
13.0,Customer 13,customer13@example.com,Unknown,83411.82143924176,0.93,0.0
14.0,Customer 14,customer14@example.com,+1-555-5760,22021.57195714934,0.33,0.0
15.0,Customer 15,customer15@example.com,+1-555-9568,19000.67175350296,0.5,0.0
16.0,Customer 16,customer16@example.com,+1-555-2077,19157.046475489948,0.01,1.0
17.0,Customer 17,customer17@example.com,+1-555-6093,31119.982052994237,0.01,1.0
18.0,Customer 18,customer18@example.com,+1-555-5088,52950.88673159155,0.24,1.0
19.0,Customer 19,customer19@example.com,+1-555-9709,43762.55684556946,0.1,0.0
20.0,Customer 20,customer20@example.com,+1-555-1428,29831.68487960615,0.26,0.0
21.0,Customer 21,customer21@example.com,+1-555-3531,61573.43657751557,0.18,0.0
22.0,Customer 22,customer22@example.com,+1-555-3214,14809.89220455214,0.03,0.0
23.0,Customer 23,customer23@example.com,+1-555-8444,29922.3202049866,0.91,0.0
