CustomerID,Name,Email,Phone,Revenue,Engagement,Target
1,Custmr 1,customer1@example.com,+1-555-9349,500000.0,0.37,1
2,Customer 2,customer2@example.com,+1-555-5177,95120.7163345817,0.33,0
3,Customer 3,,+1-555-4954,73467.4002393291,0.18,0
4,Customer 4,customer4@example.com,,60267.18993550662,0.61,0
5,Customer 5,customer5@example.com,+1-555-2151,16445.845403801213,0.48,0
6,Customer 6,customer6@example.com,+1-555-6759,16443.457513284062,0.87,1
7,Customer 7,customer7@example.com,+1-555-7051,6750.2776046517465,0.03,1
8,Customer 8,customer8@example.com,,86751.43843171858,0.64,0
9,Customer 9,customer9@example.com,+1-555-2311,60510.38616257767,0.76,1
10,Customer 10,customer10@example.com,+1-555-8839,71099.1852018085,0.76,0
11,Customer 11,customer11@example.com,+1-555-5787,3037.8649352844423,0.89,0
12,Customer 12,customer12@example.com,+1-555-5365,97021.07536403743,0.73,0
13,Customer 13,customer13@example.com,,83411.82143924176,0.93,0
14,Customer 14,customer14@example.com,+1-555-5760,22021.57195714934,0.33,0
15,Customer 15,customer15@example.com,+1-555-9568,19000.67175350296,0.5,0
16,Customer 16,customer16@example.com,+1-555-2077,19157.046475489948,0.01,1
17,Customer 17,customer17@example.com,+1-555-6093,31119.982052994234,0.01,1
18,Customer 18,customer18@example.com,+1-555-5088,52950.88673159155,0.24,1
19,Customer 19,customer19@example.com,+1-555-9709,43762.55684556946,0.1,0
20,Customer 20,customer20@example.com,+1-555-1428,29831.68487960615,0.26,0
21,Customer 21,customer21@example.com,+1-555-3531,61573.43657751557,0.18,0
22,Customer 22,customer22@example.com,+1-555-3214,14809.892204552141,0.03,0
23,Customer 23,customer23@example.com,+1-555-8444,29922.320204986598,0.91,0
24,Customer 24,customer24@example.com,+1-555-6879,37269.82248607548,0.01,0
25,Customer 25,,+1-555-9668,46150.92843748656,0.74,0
26,Customer 26,,+1-555-2233,78732.42017790835,0.15,0
27,Customer 27,,+1-555-9937,20767.704433677613,0.91,0
28,Customer 28,customer28@example.com,+1-555-7804,51909.20940294755,0.89,0
29,Customer 29,customer29@example.com,+1-555-3188,59649.0423173422,0.65,0
30,Customer 30,customer30@example.com,+1-555-8328,5598.590859279775,0.67,0
31,Customer 31,customer31@example.com,+1-555-9026,61146.9403382424,0.01,1
32,Customer 32,customer32@example.com,,17881.88824504186,0.98,0
33,Customer 33,customer33@example.com,+1-555-1210,7440.107705542672,0.88,1
34,Customer 34,customer34@example.com,+1-555-1087,94939.66818807999,0.9,0
35,Customer 35,customer35@example.com,+1-555-4820,96597.57127438138,0.66,0
36,Customer 36,customer36@example.com,+1-555-3342,81031.33746352965,0.34,1
37,Customer 37,customer37@example.com,+1-555-5454,31156.763148163696,0.89,0
38,Customer 38,customer38@example.com,+1-555-4195,10669.539286632003,0.29,0
39,Customer 39,customer39@example.com,+1-555-1525,68739.06962470354,0.56,1
40,Customer 40,customer40@example.com,+1-555-2743,44575.09688022053,0.1,0
41,Customer 41,customer41@example.com,+1-555-8224,13081.785249633103,0.92,0
42,Customer 42,customer42@example.com,+1-555-2467,50022.514101015746,0.14,1
43,Customer 43,customer43@example.com,+1-555-2645,4404.463590406622,0.22,1
44,Customer 44,customer44@example.com,+1-555-4715,91022.71980579942,0.56,0
45,Customer 45,,,26619.218178401676,0.76,0
46,Customer 46,customer46@example.com,,66589.70615104421,0.62,1
47,Customer 47,customer47@example.com,+1-555-7295,31859.396532851686,0.23,0
48,Customer 48,customer48@example.com,+1-555-1068,52486.73409660327,0.0,0
49,Customer 49,customer49@example.com,+1-555-1983,55124.31765498468,0.76,0
50,Customer 50,customer50@example.com,+1-555-5138,19300.591097027176,0.99,1
51,Custmr 51,customer51@example.com,+1-555-3309,96988.87814869129,0.81,0
52,Customer 52,customer52@example.com,+1-555-8043,77738.14951275034,0.46,1
53,Customer 53,customer53@example.com,+1-555-7464,94010.39521485473,0.9,0
54,Customer 54,customer54@example.com,+1-555-5674,89587.90769233723,0.41,0
55,Customer 55,customer55@example.com,+1-555-2703,60192.09790229743,0.52,1
